question_id,topic,question_text,question_type,resolution_criteria,created_date,question_status,resolved_option,comparison_to_outcome,takeaways,relevant_links
bfg_q15,Measles (US),Will PAHO or WHO determine that the United States has lost measles elimination status on or before 31 December 2026?,binary,TRUE if PAHO or WHO declares the US has lost measles elimination status on or before 31 December 2026. Source: PAHO.,46218,unresolved,TBD,TBD,TBD,https://www.paho.org/en/topics/measles
bfg_q16,Measles (US),How many measles-associated deaths will be reported in the U.S. from 1 January 2026 to 31 December 2026?,range,"US measles-associated deaths in 2026, as of 31 December 2026. Source: CDC.",46218,unresolved,TBD,TBD,TBD,https://www.cdc.gov/measles/data-research/index.html
bfg_q17,Cholera (World),"How many global cholera cases will be reported globally from 1 January to 31 December 2026, according to WHO?",range,"Global cholera cases reported in 2026, as of 31 December 2026. Bins to be locked at launch. Source: WHO multi-country cholera epidemiological update.",46218,unresolved,TBD,TBD,TBD,https://www.who.int/emergencies/disease-outbreak-news
bfg_q18,Dengue (Americas),"How many dengue suspected cases will be reported in the Americas from 1 January to 31 December 2026, according to PAHO?",range,"Dengue suspected cases in the Americas in 2026, as of 31 December 2026. Bins to be locked at launch. Source: PAHO dengue situation reports.",46218,unresolved,TBD,TBD,TBD,https://www3.paho.org/data/index.php/en/topics/indicadores-dengue.html
bfg_q19,Chikungunya (EU-EEA),"How many EU/EEA countries will report locally acquired autochthonous chikungunya in 2026, as of 31 December 2026?",range,"EU/EEA countries reporting locally acquired chikungunya in 2026, as of 31 December 2026. Source: ECDC.",46218,unresolved,TBD,TBD,TBD,https://www.ecdc.europa.eu/en/chikungunya-monthly
bfg_q20,Oropouche (Americas),"How many Americas countries or territories will report confirmed Oropouche in 2026, as of 31 December 2026?",range,"Americas countries or territories reporting confirmed Oropouche in 2026, as of 31 December 2026. Source: PAHO.",46218,unresolved,TBD,TBD,TBD,https://www.paho.org/en/epidemiological-alerts-and-updates
bfg_q21,Filovirus (World),Will WHO declare a new filovirus outbreak distinct from the ongoing Bundibugyo event between 1 July 2026 and 31 December 2026?,binary,"TRUE if WHO declares a new Marburg or Ebola-species outbreak not linked to the current Bundibugyo event, by 31 December 2026. Source: WHO Disease Outbreak News.",46218,unresolved,TBD,TBD,TBD,https://www.who.int/emergencies/disease-outbreak-news
bfg_q22,Poliovirus (World),"How many wild poliovirus type 1 cases will be reported globally in 2026, as of 31 December 2026?",range,"Wild poliovirus type 1 cases reported globally in 2026, as of 31 December 2026. Bins to be locked at launch. Source: GPEI polioeradication.org.",46218,unresolved,TBD,TBD,TBD,https://polioeradication.org/polio-today/polio-now/this-week/
bfg_q23,SARS-CoV-2 (World),Will WHO designate a new SARS-CoV-2 variant of interest or variant of concern in the second half of 2026?,binary,TRUE on any new VOI or VOC designation between 1 July 2026 and 31 December 2026. Source: WHO variant tracking.,46218,unresolved,TBD,TBD,TBD,https://www.who.int/activities/tracking-SARS-CoV-2-variants
bfg_q24,Measles (World),"How many measles cases will be reported to WHO globally in 2026, as of 31 December 2026?",range,"Global measles cases reported to WHO in 2026, as of 31 December 2026. Source: WHO.",46218,unresolved,TBD,TBD,TBD,https://www.who.int/health-topics/measles
bfg_q25,Cholera (World),"How many cholera-related deaths will be reported globally from 1 January to 31 December 2026, according to WHO?",range,"Cholera-related deaths reported globally in 2026, as of 31 December 2026. Source: WHO cumulative 2026 cholera and AWD death total.",46218,unresolved,TBD,TBD,TBD,https://www.who.int/emergencies/disease-outbreak-news
